Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
Udacity,US East (N. Virginia),S3 Standard,0,2.7,32.40,USD,S3 Standard storage (100 GB per month)
Udacity,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 100 TB per month 
 Outbound (to: Amazon Cloud Front) 100 TB per month 
"
Udacity,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (1), Number of EIPs per instance (1)"
Udacity,US East (N. Virginia),AWS Data Transfer,0,10.91,130.92,USD," Inbound (from: Internet) 100 GB per month 
 Outbound (to: Internet) 100 GB per month 
 Intra-Region 100 GB per month 
"
Udacity,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,36.5,438.00,USD,Number of Site-to-Site VPN Connections (1)
Udacity > Web Servers,US East (N. Virginia),Amazon EC2,0,533.89,6406.68,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3.medium)"
Udacity > Web Servers,US East (N. Virginia),Elastic Load Balancing,0,74.83,897.96,USD,Number of Application Load Balancers (1)
Udacity > Web Servers,US East (N. Virginia),Amazon Elastic Block Store (EBS),0,143.8,1725.60,USD,"Number of instances (16), Average duration each instance runs (730 hours per month), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Number of instances (1), Average duration each instance runs (730 hours per month), Storage amount (30 GB)"
Udacity > Application Servers,US East (N. Virginia),Amazon EC2,0,533.89,6406.68,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3.medium)"
Udacity > Application Servers,US East (N. Virginia),Elastic Load Balancing,0,74.83,897.96,USD,Number of Application Load Balancers (1)
Udacity > Application Servers,US East (N. Virginia),Amazon Elastic Block Store (EBS),0,143.8,1725.60,USD,"Number of instances (16), Average duration each instance runs (730 hours per month), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Number of instances (1), Average duration each instance runs (730 hours per month), Storage amount (30 GB)"
Udacity > Main Database,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,3390.2,40682.40,USD,"Change records per statement (0.38), ( 1 instances of type db.r5.8xlarge  Memory optimized  OnDemand ), Storage amount (30 GB)"
Udacity > Backup Database (Read Replica),US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,3390.2,40682.40,USD,"Change records per statement (0.38), ( 1 instances of type db.r5.8xlarge  Memory optimized  OnDemand ), Storage amount (30 GB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
