Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
375f9c3d-ea18-4dbd-998b-7d4b71e8e8d1,"2020-08-23, 08:44:12 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:717688022733:trail/Udacity_Trail""}]",,us-east-2,,201.241.70.59
6e75773b-cf59-4a00-9705-364b347bc558,"2020-08-23, 08:44:12 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""undp2-cloudtrail-task""}]",,us-east-2,,201.241.70.59
a6194adf-fbad-4c7e-b038-09afa7bdb75e,"2020-08-23, 08:44:12 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:717688022733:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""undp2-cloudtrail-task""}]",,us-east-2,,201.241.70.59
a956a3b5-f41f-462b-abf9-02a280b2f99a,"2020-08-23, 08:44:12 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""undp2-cloudtrail-task""}]",,us-east-2,,201.241.70.59
d8d8a58c-5cc4-463a-9c01-ed27436192d0,"2020-08-23, 08:44:12 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,201.241.70.59
565dc585-024d-4ada-a361-b2cbbaf6bff9,"2020-08-23, 08:42:14 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
3ef14f69-b541-4ffd-9779-97b4d08bb192,"2020-08-23, 08:41:05 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,201.241.70.59
6b8e2252-e11a-4a69-9422-4c24c0165435,"2020-08-23, 08:38:43 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
8bfcf7ce-124f-4064-ad26-1406244b11e8,"2020-08-23, 08:37:38 PM",Accountant,ConsoleLogin,,,,us-east-1,,201.241.70.59
a49946fa-b200-4e92-b400-064f2ac33655,"2020-08-23, 08:35:26 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,201.241.70.59
d4979d68-7054-4576-a15b-cb3ae2c12fb8,"2020-08-23, 08:35:25 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,201.241.70.59
e3d13a95-a315-4ad6-b59e-c532966af24d,"2020-08-23, 08:35:25 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,201.241.70.59
39016304-9b11-49cf-818d-51e80fdfa5b9,"2020-08-23, 08:35:24 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2OGMKE3GYWIOHFNK7""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::717688022733:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,201.241.70.59
